"","AVGFACSAL","SAT_AVG","RET_FT4","PCIP12","PCIP46","COMP_2YR_TRANS_YR2_RT","IND_WDRAW_2YR_TRANS_YR2_RT","NOPELL_WDRAW_4YR_TRANS_YR2_RT","COMP_2YR_TRANS_YR3_RT","UNKN_4YR_TRANS_YR4_RT","DEP_ENRL_2YR_TRANS_YR4_RT","LO_INC_COMP_2YR_TRANS_YR6_RT","LOAN_UNKN_ORIG_YR6_RT","FIRSTGEN_COMP_2YR_TRANS_YR6_RT","DEP_WDRAW_2YR_TRANS_YR8_RT","IND_WDRAW_2YR_TRANS_YR8_RT","PELL_WDRAW_4YR_TRANS_YR8_RT","IND_INC_PCT_H2","GT_25K_P6","MN_EARN_WNE_P6","COSTT4_A"
"242626",4413,889.024366666667,0.5508,0.0369,0,0.018624761,0.009865471,0.050561798,0.026308773,0.056200858,0.0205882519377667,0.039729602,0.048249153,0.04379562,0.012842224,0.009639304,0.062381664,0.00556358862422666,0.226,17800,11243
"242635",4468,912.009966666667,0.7561,0,0,0.018624761,0.009865471,0.050561798,0.026308773,0.056200858,0.0221219565903667,0.039729602,0.048249153,0.04379562,0.012842224,0.009639304,0.062381664,0.00606648117305,0.226,17800,12395
"242644",4078,889.910933333333,0.5505,0,0,0.018624761,0.009865471,0.050561798,0.026308773,0.056200858,0.0219568601740667,0.039729602,0.048249153,0.04379562,0.012842224,0.009639304,0.062381664,0.00598862240984333,0.226,17800,12258
"242653",4995,906.493733333333,0.6608,9e-04,0,0.018624761,0.009865471,0.050561798,0.026308773,0.056200858,0.0211953762238,0.039729602,0.048249153,0.04379562,0.012842224,0.009639304,0.062381664,0.00589735962968333,0.226,17800,13519
"242662",4336,897.4389,0.7137,0.0231,0,0.018624761,0.009865471,0.050561798,0.026308773,0.056200858,0.0204404124103334,0.039729602,0.048249153,0.04379562,0.012842224,0.009639304,0.062381664,0.00555876636197334,0.226,17800,10595
"242680",4259,902.2637,0.7406,0,0,0.018624761,0.009865471,0.050561798,0.026308773,0.056200858,0.0218060918175,0.039729602,0.048249153,0.04379562,0.012842224,0.009639304,0.062381664,0.00602610495849667,0.226,17800,10536
"242699",4261,891.338566666667,0.5946,0,0,0.018624761,0.009865471,0.050561798,0.026308773,0.056200858,0.0219470928880667,0.039729602,0.048249153,0.04379562,0.012842224,0.009639304,0.062381664,0.00598387609921667,0.226,17800,12208
"242705",4377,894.746333333333,0.6797,0.0386,0,0.018624761,0.009865471,0.050561798,0.026308773,0.056200858,0.0204439019126667,0.039729602,0.048249153,0.04379562,0.012842224,0.009639304,0.062381664,0.00547327274564,0.226,17800,11014
"243601",4286,887.3998,0.7342,0,0,0.019316163,0.010820046,0.0541594576403001,0.016045549,0.068384539,0.0258456480974333,0.021779141,0.035532995,0.024165708,0.0387763644545333,0.0309518448378001,0.0735785124221334,0.0055961071,0.235,18700,14081
"243780",10879,1199,0.903,0,0,0.002374863,0.028235294,0.026745914,0.007743363,0.004259851,0.0219019857802333,0.015612803,0.013436575,0.026279391,0.037587413,0.027722772,0.083146067,0.0509032502504467,0.778,45700,22481
"244011",5816,964.372166666666,0.424495794687296,0,0,0.003755756,0.017573114,0.069286287,0.005041815,0.008969292,0.014946619,0.019213974,0.011032532,0.020493957,0.059714795,0.05091104,0.123526397,0.0085605213,0.578,33100,25436
